Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Review Rating Missing Flag,purchase_frequency_annual,purchase_count,repeat_purchase_ratio,estimated_total_spend,avg_order_value_proxy,promo_used_flag,organic_customer_flag,discount_dependency_score,low_promo_dependency_flag,satisfaction_flag,rating_segment,subscription_flag,engagement_score,purchase_count_percentile,frequency_percentile,behavioral_loyalty_score,behavioral_loyalty_flag,spend_percentile,aov_percentile,rating_percentile,value_quality_loyalty_score,value_quality_loyalty_flag,loyalty_classification,age_group,spending_tier,loyalty_tier,customer_archetype,ideal_candidate_flag
1,55,Male,Blouse,Clothing,53,Kentucky,L,Gray,Winter,3.1,Yes,Express,Yes,Yes,14,Venmo,Fortnightly,0,26,15,0.9333333333333333,795,53,1,0,100,0,0,Good,1,60.0,0.27192307692307693,0.7223076923076923,56.18397435897435,0,0.2969230769230769,0.4217948717948718,0.23602564102564103,27.14230769230769,0,Not Loyal by Either Definition,46-60,Medium,Silver,Discount Hunter,0
2,19,Male,Sweater,Clothing,64,Maine,L,Maroon,Winter,3.1,Yes,Express,Yes,Yes,2,Cash,Fortnightly,0,26,3,0.6666666666666666,192,64,1,0,100,0,0,Good,1,60.0,0.03064102564102564,0.7223076923076923,39.99294871794872,0,0.051153846153846154,0.5507692307692308,0.23602564102564103,20.535897435897436,0,Not Loyal by Either Definition,18-25,Low,Bronze,Discount Hunter,0
3,50,Male,Jeans,Clothing,73,Massachusetts,S,Maroon,Spring,3.1,Yes,Free Shipping,Yes,Yes,23,Credit Card,Weekly,0,52,24,0.9583333333333334,1752,73,1,0,100,0,0,Good,1,60.0,0.451025641025641,0.931025641025641,72.04871794871795,0,0.6373076923076924,0.661025641025641,0.23602564102564103,46.73846153846154,0,Not Loyal by Either Definition,46-60,High,Elite,Discount Hunter,0
4,21,Male,Sandals,Footwear,90,Rhode Island,M,Maroon,Spring,3.5,Yes,Next Day Air,Yes,Yes,49,PayPal,Weekly,0,52,50,0.98,4500,90,1,0,100,0,0,Good,1,60.0,0.972948717948718,0.931025641025641,95.96858974358975,1,0.9864102564102564,0.8652564102564102,0.3985897435897436,69.05961538461538,0,Behaviorally Loyal Only,18-25,Premium,Elite,Discount Loyalist,0
5,45,Male,Blouse,Clothing,49,Oregon,M,Turquoise,Spring,2.7,Yes,Free Shipping,Yes,Yes,31,PayPal,Annually,0,1,32,0.96875,1568,49,1,0,100,0,0,Average,1,60.0,0.6153846153846154,0.07346153846153847,49.63846153846154,0,0.5788461538461539,0.37153846153846154,0.07730769230769231,33.98846153846154,0,Not Loyal by Either Definition,36-45,High,Silver,Discount Hunter,0
6,46,Male,Sneakers,Footwear,20,Wyoming,M,White,Summer,2.9,Yes,Standard,Yes,Yes,14,Venmo,Weekly,0,52,15,0.9333333333333333,300,20,1,0,100,0,0,Average,1,60.0,0.27192307692307693,0.931025641025641,63.48910256410256,0,0.09794871794871794,0.006794871794871795,0.15320512820512822,7.151923076923078,0,Not Loyal by Either Definition,46-60,Low,Gold,Discount Hunter,0
7,63,Male,Shirt,Clothing,85,Montana,M,Gray,Fall,3.2,Yes,Free Shipping,Yes,Yes,49,Cash,Quarterly,0,4,50,0.98,4250,85,1,0,100,0,0,Good,1,60.0,0.972948717948718,0.29384615384615387,73.66730769230769,0,0.9756410256410256,0.8070512820512821,0.2755128205128205,64.71217948717948,0,Not Loyal by Either Definition,60+,Premium,Elite,Discount Hunter,0
8,27,Male,Shorts,Clothing,34,Louisiana,L,Charcoal,Winter,3.2,Yes,Free Shipping,Yes,Yes,19,Credit Card,Weekly,0,52,20,0.95,680,34,1,0,100,0,0,Good,1,60.0,0.3691025641025641,0.931025641025641,68.19551282051282,0,0.25756410256410256,0.18987179487179487,0.2755128205128205,20.559615384615388,0,Not Loyal by Either Definition,26-35,Medium,Gold,Discount Hunter,0
9,26,Male,Coat,Outerwear,97,West Virginia,L,Silver,Summer,2.6,Yes,Express,Yes,Yes,8,Venmo,Annually,0,1,9,0.8888888888888888,873,97,1,0,100,0,0,Average,1,60.0,0.1564102564102564,0.07346153846153847,27.387393162393163,0,0.32794871794871794,0.9571794871794872,0.037307692307692306,37.79358974358974,0,Not Loyal by Either Definition,26-35,Medium,Bronze,Discount Hunter,0
10,57,Male,Handbag,Accessories,31,Missouri,M,Pink,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,4,Cash,Quarterly,0,4,5,0.8,155,31,1,0,100,0,1,Excellent,1,100.0,0.07487179487179488,0.29384615384615387,29.653846153846157,0,0.034102564102564105,0.14807692307692308,0.9226923076923077,23.519871794871793,0,Not Loyal by Either Definition,46-60,Low,Bronze,Discount Hunter,0
