Category,purchase_history_band,customers,total_estimated_spend,avg_order_value,avg_previous_purchases,avg_purchase_frequency_annual,promo_usage_rate,avg_behavioral_loyalty,avg_value_quality_loyalty,avg_retention_proxy_score,satisfaction_rate,category_customer_share_pct
Accessories,Early Repeat,231,161224,60.59,10.65,16.91,47.62,44.83,41.1,44.74,42.86,18.63
Accessories,Established,382,1003280,59.66,43.05,17.43,45.55,75.23,61.27,63.86,43.46,30.81
Accessories,Growing,493,772354,59.18,25.53,17.28,41.58,59.33,52.77,55.04,42.6,39.76
Accessories,New / Trial,134,33529,61.46,3.04,17.63,40.3,34.37,35.34,39.75,43.28,10.81
Clothing,Early Repeat,346,231950,58.35,10.53,17.03,37.57,44.46,40.76,45.28,38.15,19.92
Clothing,Established,491,1328662,61.29,43.07,17.08,42.97,75.34,62.14,64.07,40.53,28.27
Clothing,Growing,718,1143529,59.81,25.63,17.38,43.73,59.42,52.62,54.37,40.25,41.34
Clothing,New / Trial,182,46429,60.65,3.17,19.09,41.76,35.43,34.67,39.28,39.56,10.48
Footwear,Early Repeat,111,77046,60.76,10.42,16.01,45.05,43.7,41.7,45.5,47.75,18.53
Footwear,Established,169,452685,60.7,43.0,17.26,46.75,75.23,61.75,64.02,44.97,28.21
Footwear,Growing,256,406481,59.98,25.4,19.16,41.41,60.15,53.56,55.93,44.53,42.74
Footwear,New / Trial,63,15024,59.29,2.97,18.05,38.1,34.78,35.09,39.9,41.27,10.52
Outerwear,Early Repeat,67,44550,56.24,10.82,15.13,37.31,43.71,39.9,44.65,37.31,20.68
Outerwear,Established,105,273698,59.19,43.07,18.67,46.67,76.42,60.33,63.9,42.86,32.41
Outerwear,Growing,107,151868,54.75,25.35,18.43,50.47,59.88,48.6,53.39,45.79,33.02
Outerwear,New / Trial,45,10492,59.62,2.82,17.31,35.56,33.32,35.27,40.48,46.67,13.89
