Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Review Rating Missing Flag,purchase_frequency_annual,purchase_count,repeat_purchase_ratio,estimated_total_spend,avg_order_value_proxy,promo_used_flag,organic_customer_flag,discount_dependency_score,low_promo_dependency_flag,satisfaction_flag,rating_segment,subscription_flag,engagement_score,purchase_count_percentile,frequency_percentile,behavioral_loyalty_score,behavioral_loyalty_flag,spend_percentile,aov_percentile,rating_percentile,value_quality_loyalty_score,value_quality_loyalty_flag,loyalty_classification,age_group,spending_tier,loyalty_tier,customer_archetype,ideal_candidate_flag,dashboard_segment,purchase_history_band,promo_dependency_band,retention_proxy_score
1,55,Male,Blouse,Clothing,53,Kentucky,L,Gray,Winter,3.1,Yes,Express,Yes,Yes,14,Venmo,Fortnightly,0,26,15,0.9333333333333332,795,53,1,0,100,0,0,Good,1,60.0,0.2719230769230769,0.7223076923076923,56.18397435897435,0,0.2969230769230769,0.4217948717948718,0.236025641025641,27.14230769230769,0,Not Loyal by Either Definition,46-60,Medium,Silver,Discount Hunter,0,Discount Hunter,Early Repeat,Promo Used,32.07
2,19,Male,Sweater,Clothing,64,Maine,L,Maroon,Winter,3.1,Yes,Express,Yes,Yes,2,Cash,Fortnightly,0,26,3,0.6666666666666666,192,64,1,0,100,0,0,Good,1,60.0,0.0306410256410256,0.7223076923076923,39.99294871794872,0,0.0511538461538461,0.5507692307692308,0.236025641025641,20.53589743589744,0,Not Loyal by Either Definition,18-25,Low,Bronze,Discount Hunter,0,Discount Hunter,New / Trial,Promo Used,23.13
3,50,Male,Jeans,Clothing,73,Massachusetts,S,Maroon,Spring,3.1,Yes,Free Shipping,Yes,Yes,23,Credit Card,Weekly,0,52,24,0.9583333333333334,1752,73,1,0,100,0,0,Good,1,60.0,0.451025641025641,0.931025641025641,72.04871794871795,0,0.6373076923076924,0.661025641025641,0.236025641025641,46.73846153846154,0,Not Loyal by Either Definition,46-60,High,Elite,Discount Hunter,0,Discount Hunter,Growing,Promo Used,44.11
4,21,Male,Sandals,Footwear,90,Rhode Island,M,Maroon,Spring,3.5,Yes,Next Day Air,Yes,Yes,49,PayPal,Weekly,0,52,50,0.98,4500,90,1,0,100,0,0,Good,1,60.0,0.972948717948718,0.931025641025641,95.96858974358976,1,0.9864102564102564,0.8652564102564102,0.3985897435897436,69.05961538461538,0,Behaviorally Loyal Only,18-25,Premium,Elite,Discount Loyalist,0,Discount Loyalist,Established,Promo Used,60.45
5,45,Male,Blouse,Clothing,49,Oregon,M,Turquoise,Spring,2.7,Yes,Free Shipping,Yes,Yes,31,PayPal,Annually,0,1,32,0.96875,1568,49,1,0,100,0,0,Average,1,60.0,0.6153846153846154,0.0734615384615384,49.63846153846154,0,0.5788461538461539,0.3715384615384615,0.0773076923076923,33.98846153846154,0,Not Loyal by Either Definition,36-45,High,Silver,Discount Hunter,0,Discount Hunter,Growing,Promo Used,30.83
6,46,Male,Sneakers,Footwear,20,Wyoming,M,White,Summer,2.9,Yes,Standard,Yes,Yes,14,Venmo,Weekly,0,52,15,0.9333333333333332,300,20,1,0,100,0,0,Average,1,60.0,0.2719230769230769,0.931025641025641,63.48910256410256,0,0.0979487179487179,0.0067948717948717,0.1532051282051282,7.151923076923078,0,Not Loyal by Either Definition,46-60,Low,Gold,Discount Hunter,0,Discount Hunter,Early Repeat,Promo Used,30.36
7,63,Male,Shirt,Clothing,85,Montana,M,Gray,Fall,3.2,Yes,Free Shipping,Yes,Yes,49,Cash,Quarterly,0,4,50,0.98,4250,85,1,0,100,0,0,Good,1,60.0,0.972948717948718,0.2938461538461538,73.66730769230769,0,0.9756410256410256,0.8070512820512821,0.2755128205128205,64.71217948717948,0,Not Loyal by Either Definition,60+,Premium,Elite,Discount Hunter,0,Discount Hunter,Established,Promo Used,49.33
8,27,Male,Shorts,Clothing,34,Louisiana,L,Charcoal,Winter,3.2,Yes,Free Shipping,Yes,Yes,19,Credit Card,Weekly,0,52,20,0.95,680,34,1,0,100,0,0,Good,1,60.0,0.3691025641025641,0.931025641025641,68.19551282051282,0,0.2575641025641025,0.1898717948717948,0.2755128205128205,20.559615384615388,0,Not Loyal by Either Definition,26-35,Medium,Gold,Discount Hunter,0,Discount Hunter,Growing,Promo Used,35.83
9,26,Male,Coat,Outerwear,97,West Virginia,L,Silver,Summer,2.6,Yes,Express,Yes,Yes,8,Venmo,Annually,0,1,9,0.8888888888888888,873,97,1,0,100,0,0,Average,1,60.0,0.1564102564102564,0.0734615384615384,27.387393162393163,0,0.3279487179487179,0.9571794871794872,0.0373076923076923,37.79358974358974,0,Not Loyal by Either Definition,26-35,Medium,Bronze,Discount Hunter,0,Discount Hunter,Early Repeat,Promo Used,21.77
10,57,Male,Handbag,Accessories,31,Missouri,M,Pink,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,4,Cash,Quarterly,0,4,5,0.8,155,31,1,0,100,0,1,Excellent,1,100.0,0.0748717948717948,0.2938461538461538,29.65384615384616,0,0.0341025641025641,0.148076923076923,0.9226923076923076,23.519871794871797,0,Not Loyal by Either Definition,46-60,Low,Bronze,Discount Hunter,0,Discount Hunter,New / Trial,Promo Used,34.22
11,53,Male,Shoes,Footwear,34,Arkansas,L,Purple,Fall,4.1,Yes,Store Pickup,Yes,Yes,26,Bank Transfer,Bi-Weekly,0,26,27,0.9629629629629628,918,34,1,0,100,0,1,Excellent,1,100.0,0.5138461538461538,0.7223076923076923,67.66310541310541,0,0.3432051282051282,0.1898717948717948,0.6465384615384615,31.40576923076923,0,Not Loyal by Either Definition,46-60,Medium,Gold,Discount Hunter,0,Discount Hunter,Growing,Promo Used,53.3
12,30,Male,Shorts,Clothing,68,Hawaii,S,Olive,Winter,4.9,Yes,Store Pickup,Yes,Yes,10,Bank Transfer,Fortnightly,0,26,11,0.9090909090909092,748,68,1,0,100,0,1,Excellent,1,100.0,0.1914102564102564,0.7223076923076923,52.07604895104896,0,0.2812820512820513,0.6015384615384616,0.9619230769230768,45.52820512820513,0,Not Loyal by Either Definition,26-35,Medium,Silver,Discount Hunter,0,Discount Hunter,Early Repeat,Promo Used,49.82
13,61,Male,Coat,Outerwear,72,Delaware,M,Gold,Winter,4.5,Yes,Express,Yes,Yes,37,Venmo,Fortnightly,0,26,38,0.9736842105263158,2736,72,1,0,100,0,1,Excellent,1,100.0,0.7342307692307692,0.7223076923076923,77.79483805668016,0,0.8302564102564103,0.6485897435897436,0.8048717948717948,65.5224358974359,0,Not Loyal by Either Definition,60+,Premium,Elite,Discount Hunter,0,Discount Hunter,Established,Promo Used,66.39
14,65,Male,Dress,Clothing,51,New Hampshire,M,Violet,Spring,4.7,Yes,Express,Yes,Yes,31,PayPal,Weekly,0,52,32,0.96875,1632,51,1,0,100,0,1,Excellent,1,100.0,0.6153846153846154,0.931025641025641,79.65320512820512,0,0.5994871794871794,0.3961538461538461,0.8852564102564102,51.58846153846154,0,Not Loyal by Either Definition,60+,High,Elite,Discount Hunter,0,Discount Hunter,Growing,Promo Used,63.74
15,64,Male,Coat,Outerwear,53,New York,L,Teal,Winter,4.7,Yes,Free Shipping,Yes,Yes,34,Debit Card,Weekly,0,52,35,0.9714285714285714,1855,53,1,0,100,0,1,Excellent,1,100.0,0.6797435897435897,0.931025641025641,82.6029304029304,0,0.6628205128205128,0.4217948717948718,0.8852564102564102,54.76282051282051,0,Not Loyal by Either Definition,60+,High,Elite,Discount Hunter,0,Discount Hunter,Growing,Promo Used,65.86
16,64,Male,Skirt,Clothing,81,Rhode Island,M,Teal,Winter,2.8,Yes,Store Pickup,Yes,Yes,8,PayPal,Monthly,0,12,9,0.8888888888888888,729,81,1,0,100,0,0,Average,1,60.0,0.1564102564102564,0.5117948717948718,42.72905982905984,0,0.2743589743589744,0.7560256410256411,0.1144871794871794,32.164743589743594,0,Not Loyal by Either Definition,60+,Medium,Bronze,Discount Hunter,0,Discount Hunter,Early Repeat,Promo Used,27.27
17,25,Male,Sunglasses,Accessories,36,Alabama,S,Gray,Spring,4.1,Yes,Next Day Air,Yes,Yes,44,Debit Card,Bi-Weekly,0,26,45,0.9777777777777776,1620,36,1,0,100,0,1,Excellent,1,100.0,0.8688461538461538,0.7223076923076923,83.93440170940171,1,0.5955128205128205,0.215,0.6465384615384615,42.12628205128205,0,Behaviorally Loyal Only,18-25,High,Elite,Discount Loyalist,0,Discount Loyalist,Established,Promo Used,63.3
18,53,Male,Dress,Clothing,38,Mississippi,XL,Lavender,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,36,Venmo,Quarterly,0,4,37,0.972972972972973,1406,38,1,0,100,0,1,Excellent,1,100.0,0.7151282051282051,0.2938461538461538,61.92484407484408,0,0.5269230769230769,0.2426923076923076,0.8852564102564102,44.84935897435898,0,Not Loyal by Either Definition,46-60,High,Gold,Discount Hunter,0,Discount Hunter,Established,Promo Used,54.08
19,52,Male,Sweater,Clothing,48,Montana,S,Black,Summer,4.6,Yes,Free Shipping,Yes,Yes,17,Cash,Weekly,0,52,18,0.9444444444444444,864,48,1,0,100,0,1,Excellent,1,100.0,0.3289743589743589,0.931025641025641,66.27863247863247,0,0.3241025641025641,0.3606410256410256,0.8444871794871794,38.86987179487179,0,Not Loyal by Either Definition,46-60,Medium,Gold,Discount Hunter,0,Discount Hunter,Growing,Promo Used,54.54
20,66,Male,Pants,Clothing,90,Rhode Island,M,Green,Summer,3.3,Yes,Standard,Yes,Yes,46,Debit Card,Bi-Weekly,0,26,47,0.9787234042553192,4230,90,1,0,100,0,0,Good,1,60.0,0.9093589743589744,0.7223076923076923,85.77639116202947,1,0.9744871794871794,0.8652564102564102,0.3137179487179487,66.88525641025642,0,Behaviorally Loyal Only,60+,Premium,Elite,Discount Loyalist,0,Discount Loyalist,Established,Promo Used,55.32
21,21,Male,Pants,Clothing,51,Louisiana,M,Black,Winter,2.8,Yes,Express,Yes,Yes,50,Cash,Every 3 Months,0,4,51,0.9803921568627452,2601,51,1,0,100,0,0,Average,1,60.0,0.9902564102564102,0.2938461538461538,74.45399698340874,0,0.8096153846153846,0.3961538461538461,0.1144871794871794,44.57820512820513,0,Not Loyal by Either Definition,18-25,Premium,Elite,Discount Hunter,0,Discount Hunter,Established,Promo Used,44.65
22,31,Male,Pants,Clothing,62,North Carolina,M,Charcoal,Winter,4.1,Yes,Store Pickup,Yes,Yes,22,Debit Card,Quarterly,0,4,23,0.9565217391304348,1426,62,1,0,100,0,1,Excellent,1,100.0,0.4333333333333333,0.2938461538461538,48.91505016722408,0,0.536923076923077,0.523974358974359,0.6465384615384615,47.50705128205128,0,Not Loyal by Either Definition,26-35,High,Silver,Discount Hunter,0,Discount Hunter,Growing,Promo Used,48.89
23,56,Male,Pants,Clothing,37,California,M,Peach,Summer,3.2,Yes,Store Pickup,Yes,Yes,32,Debit Card,Annually,0,1,33,0.9696969696969696,1221,37,1,0,100,0,0,Good,1,60.0,0.6382051282051282,0.0734615384615384,50.68432400932401,0,0.4638461538461538,0.2296153846153846,0.2755128205128205,29.80448717948717,0,Not Loyal by Either Definition,46-60,Medium,Silver,Discount Hunter,0,Discount Hunter,Growing,Promo Used,30.26
24,31,Male,Pants,Clothing,88,Oklahoma,XL,White,Winter,4.4,Yes,Express,Yes,Yes,40,Credit Card,Weekly,0,52,41,0.975609756097561,3608,88,1,0,100,0,1,Excellent,1,100.0,0.7934615384615384,0.931025641025641,87.80386178861788,1,0.9305128205128204,0.8392307692307692,0.7667948717948718,73.5371794871795,0,Behaviorally Loyal Only,26-35,Premium,Elite,Discount Loyalist,1,Discount Loyalist,Established,Promo Used,72.9
25,18,Male,Jacket,Outerwear,22,Florida,M,Green,Fall,2.9,Yes,Store Pickup,Yes,Yes,16,Debit Card,Weekly,0,52,17,0.9411764705882352,374,22,1,0,100,0,0,Average,1,60.0,0.3114102564102564,0.931025641025641,65.42288838612367,0,0.1256410256410256,0.0308974358974358,0.1532051282051282,8.862179487179487,0,Not Loyal by Either Definition,Teen,Low,Gold,Discount Hunter,0,Discount Hunter,Growing,Promo Used,31.66
