spending_tier,loyalty_tier,dashboard_segment,customers,total_estimated_spend,avg_estimated_spend,avg_order_value,avg_behavioral_loyalty,avg_value_quality_loyalty,promo_usage_rate,satisfaction_rate,customer_share_pct,spend_share_pct
High,Bronze,Casual Customer,58,94803,1634.53,83.31,41.36,68.03,0.0,0.38,1.49,1.54
High,Bronze,Discount Hunter,45,74609,1657.98,82.2,41.68,53.97,1.0,0.47,1.15,1.21
High,Elite,Casual Customer,91,161442,1774.09,53.62,75.64,60.69,0.0,0.38,2.33,2.62
High,Elite,True Loyalist,78,137484,1762.62,40.33,82.93,57.26,0.0,0.49,2.0,2.23
High,Elite,Discount Hunter,66,118335,1792.95,52.91,76.94,44.73,1.0,0.3,1.69,1.92
High,Elite,Discount Loyalist,61,108637,1780.93,39.84,84.94,42.96,1.0,0.41,1.56,1.77
High,Gold,Casual Customer,182,318702,1751.11,60.45,65.78,63.01,0.0,0.44,4.67,5.18
High,Gold,Discount Hunter,147,257859,1754.14,61.5,65.36,47.15,1.0,0.35,3.77,4.19
High,Gold,Discount Loyalist,1,2145,2145.0,55.0,71.29,41.61,1.0,0.0,0.03,0.03
High,Gold,True Loyalist,1,1521,1521.0,39.0,71.29,52.81,0.0,0.0,0.03,0.02
High,Silver,Casual Customer,130,226101,1739.24,68.75,52.95,65.81,0.0,0.46,3.33,3.67
High,Silver,Discount Hunter,111,194467,1751.95,68.03,53.29,49.71,1.0,0.36,2.85,3.16
Low,Bronze,Casual Customer,369,120127,325.55,53.67,33.91,39.94,0.0,0.39,9.46,1.95
Low,Bronze,Discount Hunter,266,87488,328.9,51.7,34.43,24.75,1.0,0.44,6.82,1.42
Low,Elite,Casual Customer,6,3533,588.83,22.5,74.28,34.67,0.0,0.5,0.15,0.06
Low,Elite,Discount Hunter,5,3037,607.4,22.6,73.47,23.14,1.0,0.8,0.13,0.05
Low,Gold,Casual Customer,47,24664,524.77,30.72,63.25,36.64,0.0,0.51,1.21,0.4
Low,Gold,Discount Hunter,27,13009,481.81,26.52,63.54,17.87,1.0,0.33,0.69,0.21
Low,Silver,Casual Customer,158,67242,425.58,42.66,52.42,37.77,0.0,0.39,4.05,1.09
Low,Silver,Discount Hunter,97,39335,405.52,40.19,51.74,22.54,1.0,0.46,2.49,0.64
Medium,Bronze,Casual Customer,138,132421,959.57,68.03,38.45,54.64,0.0,0.45,3.54,2.15
Medium,Bronze,Discount Hunter,113,109345,967.65,70.25,37.88,39.7,1.0,0.36,2.9,1.78
Medium,Elite,Casual Customer,45,46819,1040.42,30.67,75.98,44.5,0.0,0.44,1.15,0.76
Medium,Elite,Discount Hunter,47,46569,990.83,30.26,75.79,28.56,1.0,0.4,1.21,0.76
Medium,Elite,True Loyalist,38,40558,1067.32,24.03,83.39,42.01,0.0,0.34,0.97,0.66
Medium,Elite,Discount Loyalist,33,36103,1094.03,24.94,82.47,26.4,1.0,0.27,0.85,0.59
Medium,Gold,Casual Customer,111,111361,1003.25,40.41,64.94,46.89,0.0,0.46,2.85,1.81
Medium,Gold,Discount Hunter,109,108007,990.89,40.88,64.67,32.28,1.0,0.46,2.79,1.76
Medium,Silver,Casual Customer,208,206807,994.26,55.36,53.05,50.67,0.0,0.38,5.33,3.36
Medium,Silver,Discount Hunter,138,134945,977.86,52.95,53.52,35.18,1.0,0.41,3.54,2.19
Premium,Bronze,Casual Customer,4,10255,2563.75,95.0,44.93,83.69,0.0,0.5,0.1,0.17
Premium,Bronze,Discount Hunter,4,10003,2500.75,97.25,43.74,63.66,1.0,0.25,0.1,0.16
Premium,Elite,True Loyalist,171,601445,3517.22,76.67,85.2,80.16,0.0,0.5,4.38,9.78
Premium,Elite,Discount Loyalist,145,495370,3416.34,75.23,84.9,62.87,1.0,0.41,3.72,8.05
Premium,Elite,Casual Customer,105,334389,3184.66,81.52,75.8,79.05,0.0,0.43,2.69,5.43
Premium,Elite,Discount Hunter,84,274580,3268.81,82.77,75.54,64.93,1.0,0.45,2.15,4.46
Premium,Gold,Casual Customer,204,633341,3104.61,79.66,65.76,78.22,0.0,0.42,5.23,10.29
Premium,Gold,Discount Hunter,128,403503,3152.37,79.77,65.58,63.86,1.0,0.48,3.28,6.56
Premium,Gold,Discount Loyalist,3,9009,3003.0,77.0,71.29,62.51,1.0,0.67,0.08,0.15
Premium,Gold,True Loyalist,2,6045,3022.5,77.5,71.29,76.16,0.0,0.5,0.05,0.1
Premium,Silver,Casual Customer,77,213766,2776.18,85.38,53.82,78.18,0.0,0.4,1.97,3.47
Premium,Silver,Discount Hunter,47,133620,2842.98,85.7,54.99,64.19,1.0,0.49,1.21,2.17
