Location,customers,total_estimated_spend,avg_estimated_spend,avg_order_value,promo_usage_rate,organic_customer_rate,avg_behavioral_loyalty,avg_value_quality_loyalty,avg_retention_proxy_score,avg_review_rating,satisfaction_rate,ideal_candidate_rate,top_category,spend_rank,retention_rank,organic_rank,geographic_opportunity_score
Arizona,65,130050,2000.77,66.55,33.85,66.15,61.46,57.32,58.14,3.69,41.54,20.0,Clothing,1.0,0.98,0.96,98.3
Alaska,72,139515,1937.71,67.6,40.28,59.72,62.66,58.01,58.54,3.8,45.83,18.06,Clothing,0.96,1.0,0.74,91.9
Tennessee,77,132224,1717.19,61.97,36.36,63.64,60.36,53.87,57.38,3.78,48.05,15.58,Clothing,0.82,0.96,0.91,89.15
Michigan,73,128034,1753.89,62.1,39.73,60.27,58.24,54.6,56.09,3.83,47.95,19.18,Clothing,0.86,0.88,0.78,84.7
Pennsylvania,74,143402,1937.86,66.57,44.59,55.41,61.24,56.76,56.34,3.78,41.89,21.62,Clothing,0.98,0.92,0.38,80.9
Wyoming,71,125293,1764.69,60.69,42.25,57.75,60.92,52.44,55.31,3.69,40.85,14.08,Clothing,0.9,0.84,0.56,79.4
Alabama,89,146136,1641.98,59.11,40.45,59.55,61.3,52.54,56.9,3.78,48.31,14.61,Clothing,0.7,0.94,0.7,78.4
Illinois,92,156279,1698.68,61.05,40.22,59.78,61.78,51.88,54.63,3.64,32.61,11.96,Clothing,0.78,0.72,0.76,75.4
South Dakota,70,112708,1610.11,60.51,37.14,62.86,57.47,51.8,54.46,3.68,41.43,17.14,Clothing,0.68,0.68,0.88,73.0
Hawaii,65,115759,1780.91,57.72,49.23,50.77,64.54,51.35,55.73,3.68,41.54,6.15,Clothing,0.94,0.86,0.14,71.2
Montana,96,151623,1579.41,60.25,37.5,62.5,57.62,52.46,55.14,3.82,44.79,9.38,Clothing,0.54,0.8,0.86,71.1
Virginia,77,119722,1554.83,62.88,37.66,62.34,57.24,52.43,54.84,3.72,44.16,14.29,Clothing,0.44,0.76,0.84,65.2
Iowa,69,121143,1755.7,60.88,52.17,47.83,61.42,52.81,55.19,3.83,47.83,11.59,Accessories,0.88,0.82,0.04,64.9
Washington,73,116835,1600.48,63.33,43.84,56.16,56.64,52.68,54.48,3.81,49.32,12.33,Clothing,0.64,0.7,0.48,62.1
New Mexico,81,134125,1655.86,61.9,44.44,55.56,59.04,52.32,54.28,3.73,41.98,14.81,Accessories,0.72,0.62,0.4,60.5
North Carolina,78,123663,1585.42,60.79,44.87,55.13,59.34,51.75,55.02,3.81,47.44,15.38,Clothing,0.58,0.78,0.36,59.5
Nevada,87,154917,1780.66,63.38,47.13,52.87,59.09,53.02,53.81,3.72,40.23,19.54,Clothing,0.92,0.44,0.24,58.2
Kansas,63,82556,1310.41,54.56,23.81,76.19,57.02,50.29,56.33,3.8,44.44,11.11,Clothing,0.02,0.9,1.0,57.3
Georgia,79,127003,1607.63,58.8,40.51,59.49,59.34,49.63,53.54,3.62,36.71,16.46,Clothing,0.66,0.38,0.68,56.7
Arkansas,79,133699,1692.39,61.11,46.84,53.16,60.08,51.64,54.19,3.71,41.77,13.92,Clothing,0.76,0.56,0.26,56.5
Rhode Island,63,94628,1502.03,61.44,39.68,60.32,57.6,51.24,54.21,3.75,42.86,9.52,Clothing,0.32,0.58,0.8,53.1
Maine,77,102793,1334.97,56.99,35.06,64.94,55.24,50.34,54.78,3.84,50.65,11.69,Clothing,0.06,0.74,0.94,51.8
Ohio,77,121651,1579.88,60.38,44.16,55.84,58.72,51.55,53.92,3.81,41.56,19.48,Clothing,0.56,0.48,0.46,50.7
Texas,77,110864,1439.79,61.19,36.36,63.64,54.87,52.15,54.09,3.89,45.45,11.69,Clothing,0.22,0.54,0.91,50.45
Idaho,93,139257,1497.39,60.08,40.86,59.14,56.91,51.17,54.21,3.79,46.24,13.98,Clothing,0.3,0.6,0.66,49.5
Missouri,81,137747,1700.58,57.91,49.38,50.62,60.29,51.22,53.64,3.77,40.74,7.41,Clothing,0.8,0.42,0.11,49.45
Utah,71,123752,1742.99,62.58,46.48,53.52,58.96,52.5,52.75,3.68,33.8,9.86,Clothing,0.84,0.24,0.28,49.0
Mississippi,80,127769,1597.11,61.04,47.5,52.5,59.48,51.49,54.07,3.76,43.75,15.0,Clothing,0.62,0.52,0.22,48.5
New Hampshire,71,120100,1691.55,59.42,43.66,56.34,59.04,51.37,52.3,3.61,29.58,12.68,Accessories,0.74,0.18,0.5,48.4
Maryland,86,131268,1526.37,55.76,44.19,55.81,60.01,49.1,54.28,3.81,44.19,17.44,Clothing,0.34,0.64,0.44,47.0
Minnesota,88,138497,1573.83,56.56,44.32,55.68,60.42,49.82,53.62,3.75,37.5,11.36,Clothing,0.52,0.4,0.42,45.3
Louisiana,84,119301,1420.25,57.71,41.67,58.33,58.3,49.35,54.29,3.78,46.43,13.1,Clothing,0.18,0.66,0.6,45.3
New York,87,127935,1470.52,60.43,41.38,58.62,58.73,50.73,53.94,3.76,40.23,14.94,Clothing,0.26,0.5,0.62,43.4
Nebraska,87,135573,1558.31,59.45,42.53,57.47,57.14,50.3,52.77,3.73,39.08,11.49,Accessories,0.48,0.26,0.54,41.8
California,95,138622,1459.18,59.0,42.11,57.89,56.82,50.48,53.82,3.83,46.32,10.53,Clothing,0.24,0.46,0.58,40.2
Kentucky,79,120610,1526.71,55.72,43.04,56.96,60.51,49.28,53.41,3.74,35.44,12.66,Accessories,0.36,0.36,0.52,40.0
Connecticut,78,104337,1337.65,54.18,33.33,66.67,55.88,48.04,53.12,3.69,39.74,16.67,Clothing,0.08,0.34,0.98,39.6
Florida,68,106085,1560.07,55.85,45.59,54.41,57.97,48.59,52.57,3.68,41.18,10.29,Clothing,0.5,0.22,0.32,35.7
Colorado,75,107478,1433.04,56.29,41.33,58.67,56.29,48.65,52.89,3.73,44.0,16.0,Clothing,0.2,0.32,0.64,35.2
Vermont,85,125869,1480.81,57.18,38.82,61.18,56.39,48.94,51.73,3.71,32.94,7.06,Clothing,0.28,0.1,0.82,35.2
New Jersey,67,92485,1380.37,56.75,40.3,59.7,56.83,49.16,52.86,3.77,40.3,8.96,Accessories,0.12,0.28,0.72,32.6
North Dakota,83,128162,1544.12,62.89,45.78,54.22,55.66,50.92,52.05,3.75,40.96,15.66,Clothing,0.4,0.14,0.3,28.4
Indiana,79,126161,1596.97,58.92,56.96,43.04,59.62,49.23,51.67,3.81,40.51,13.92,Clothing,0.6,0.08,0.02,27.3
Oregon,74,115249,1557.42,57.34,51.35,48.65,59.97,48.52,52.49,3.75,40.54,13.51,Clothing,0.46,0.2,0.06,26.9
Delaware,86,119485,1389.36,55.33,45.35,54.65,57.59,47.88,52.89,3.8,45.35,8.14,Clothing,0.14,0.3,0.34,24.6
South Carolina,76,117396,1544.68,58.41,50.0,50.0,56.75,49.99,52.05,3.76,43.42,10.53,Clothing,0.42,0.12,0.08,23.0
West Virginia,81,124999,1543.2,63.88,49.38,50.62,57.14,49.79,50.57,3.59,32.1,9.88,Accessories,0.38,0.04,0.11,19.35
Massachusetts,72,100046,1389.53,60.89,48.61,51.39,58.12,49.15,51.36,3.72,34.72,8.33,Clothing,0.16,0.06,0.16,12.5
Wisconsin,75,99126,1321.68,55.95,48.0,52.0,54.72,47.57,52.12,3.89,52.0,8.0,Clothing,0.04,0.16,0.19,11.95
Oklahoma,75,100870,1344.93,58.35,48.0,52.0,57.23,46.76,50.45,3.59,34.67,6.67,Clothing,0.1,0.02,0.19,9.45
